distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	R1-299	04	2.0A	C3	5	1	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41845
2273	R1-299	07	2.0A	C4	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41896
2273	R1-299	07	2.0DHA	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41840
2273	R1-299	07	2.0DHA	C4	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41331
2273	R1-299	08	2.0A	C3	5	24	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41842,41844,42100,42101,42102,42103,42104,42106,42528,42529,42530,42531,42532,42533,42534,42535,42908,42909,42910,42911,42912,42913,43208,43583
2273	R1-299	08	2.0A	C4	5	21	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40285,40702,40703,40904,41129,41149,41170,41322,41327,41328,41329,41330,41740,41830,41894,41897,42094,42096,42295,42304,42306
2273	R1-299	17	2.0A	C3	5	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42105
2273	R1-299	17	2.0A	C4	5	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41150
2273	R1-299	17	2.1A	C4	5	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40664
2273	R1-299	22	2.0A	C3	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42098
2273	R1-299	22	2.1A	C3	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42536
2273	R1-299	25	2.0A	C3	5	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41841
2273	R1-299	25	2.0A	C4	5	2	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41741,41895
2273	R1-299	25	2.0DHA	C3	5	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41843
2273	R1-299	41	2.0A	C4	5	1	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41924
2273	R1-299	44	2.0A	C3	5	1	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42099
2437	R1-005	39	2.0A	C3	5	1	Cantabria	E.ON DISTRIBUCION S.L.	42907
2280	R1-001	03	2.0A	C3	5	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41837
2280	R1-001	03	2.0A	C4	5	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40721
2280	R1-001	03	2.1DHA	C3	5	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41838
2280	R1-001	03	3.0A	C3	4	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42915
2280	R1-001	12	2.0A	C4	5	1	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41923
2280	R1-001	28	2.0A	C3	5	4	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41142,41835,41836,42108
2280	R1-001	28	2.0A	C4	5	2	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40696,41316
2280	R1-001	28	2.0DHA	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42109
2280	R1-001	28	2.1A	C4	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42299
2280	R1-001	31	3.0A	C3	4	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41141
2280	R1-001	45	2.0DHA	C3	5	1	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40659
2280	R1-001	46	2.0A	C3	5	6	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40429,40658,40660,40661,41839,42527
2280	R1-001	46	2.0A	C4	5	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42095,42134
2316	R1-002	15	2.0A	C3	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41832
2316	R1-002	28	2.0A	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41831
2316	R1-002	36	2.0A	C3	5	1	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42110
