distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2326	R1-015	17	2.0A	C3	5	1	Girona	BASSOLS ENERGÍA, S.A.	41647
2326	R1-015	17	3.0A	C3	3	1	Girona	BASSOLS ENERGÍA, S.A.	41165
3742	R1-003	27	2.0A	C3	5	2	Lugo	DISTRIBUCIÓN BEGASA	42044,42368
3742	R1-003	27	3.0A	C3	4	1	Lugo	DISTRIBUCIÓN BEGASA	42404
2406	R1-008	33	2.0A	C3	5	1	Asturias	DISTRIBUCIÓN CANTÁBRICO	40963
2406	R1-008	33	2.0DHA	C3	5	1	Asturias	DISTRIBUCIÓN CANTÁBRICO	42373
2360	R1-107	08	2.0A	C3	5	1	Barcelona	DISTRIBUIDORA DE ENERGIA ELECTRICA DEL BAGES, S.A.	42334
2401	R1-037	25	2.0A	C3	5	1	Lleida	ELECTRA DEL CARDENER, S.A.	41022
3889	R1-254	31	2.0A	C3	5	3	Navarra	ELECTRA SALTEA, S.L.	41016,41306,41887
2505	R1-232	31	2.0A	C3	5	1	Navarra	Electra Valdizarbe, S.A.	41953
33980	R1-156	25	2.0A	C3	5	1	Lleida	ELÉCTRICA DE DURRO, S.L.	41052
11861	R1-065	25	2.1A	C3	5	1	Lleida	ELECTRICA DE GUIXES, SL	42048
3223	R1-176	17	2.0A	C3	5	2	Girona	ELÉCTRICA DE JAFRE, S.A.	41912,42554
3245	R1-019	43	2.0A	C3	5	1	Tarragona	ELECTRICA DEL EBRO, S.A.	42440
2273	R1-299	07	2.0A	C3	5	34	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40934,40938,40951,41002,41003,41046,41065,41072,41606,41609,41614,41641,41650,41876,41929,41937,41942,41949,41966,41972,41984,42014,42054,42126,42328,42332,42355,42384,42393,42419,42435,42455,42456,42469
2273	R1-299	08	2.0A	C3	5	261	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40671,40701,40722,40918,40923,40930,40931,40933,40936,40945,40954,40958,40965,40967,40968,40970,40974,40975,40976,40980,40981,40983,40984,40987,40988,40994,40995,40998,40999,41004,41013,41015,41023,41027,41035,41036,41037,41040,41041,41042,41043,41044,41048,41051,41053,41058,41063,41066,41069,41080,41081,41083,41084,41086,41091,41093,41094,41095,41097,41099,41100,41101,41102,41103,41107,41109,41110,41111,41113,41151,41166,41168,41307,41320,41581,41582,41583,41584,41585,41586,41587,41589,41591,41594,41596,41597,41600,41602,41603,41607,41613,41615,41616,41618,41619,41621,41622,41623,41624,41625,41634,41638,41643,41644,41645,41654,41656,41660,41662,41664,41665,41668,41669,41671,41677,41678,41681,41682,41683,41690,41691,41692,41693,41694,41696,41698,41700,41702,41703,41704,41708,41709,41712,41713,41716,41719,41720,41721,41723,41725,41726,41727,41733,41735,41736,41737,41848,41850,41855,41860,41861,41864,41867,41925,41927,41933,41939,41940,41945,41946,41947,41950,41955,41956,41958,41959,41969,41973,41974,41985,41990,41993,41994,41995,41996,41997,41998,42003,42010,42013,42015,42018,42019,42028,42029,42033,42036,42037,42043,42045,42047,42049,42050,42052,42064,42068,42069,42071,42072,42078,42084,42119,42120,42125,42127,42141,42293,42314,42316,42321,42324,42325,42329,42331,42333,42339,42341,42342,42345,42349,42353,42358,42364,42369,42370,42372,42375,42377,42382,42391,42399,42405,42407,42411,42413,42414,42418,42420,42428,42431,42432,42434,42437,42438,42439,42441,42444,42447,42448,42449,42452,42454,42457,42459,42460,42463,42466,42492,42495,42500,42542
2273	R1-299	08	2.0A	C4	5	3	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42143,42153,42297
2273	R1-299	08	2.0DHA	C3	5	17	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40944,41028,41031,41034,41045,41050,41079,41119,41642,41661,41926,41928,41948,41999,42077,42507,42551
2273	R1-299	08	2.1A	C3	5	3	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40920,40969,40989
2273	R1-299	08	2.1DHA	C3	5	4	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40985,41588,41646,42066
2273	R1-299	08	3.0A	C3	3	2	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40946,41055
2273	R1-299	08	3.0A	C3	4	15	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40905,40943,40990,40991,40992,41626,41685,42035,42060,42061,42348,42376,42392,42421,42422
2273	R1-299	11	2.0A	C3	5	1	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42359
2273	R1-299	14	2.0A	C3	5	1	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42319
2273	R1-299	17	2.0A	C3	5	40	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40921,40940,40952,40962,41001,41021,41033,41038,41070,41074,41604,41608,41630,41632,41666,41670,41679,41701,41732,41851,41852,41989,42008,42074,42121,42122,42317,42318,42351,42363,42371,42383,42389,42409,42416,42429,42450,42453,42461,42480
2273	R1-299	17	2.0A	C4	5	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42478
2273	R1-299	17	2.0DHA	C3	5	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41663,41687
2273	R1-299	17	2.1A	C3	5	5	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41659,41931,41977,42458,42538
2273	R1-299	17	3.0A	C3	4	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42415,42442
2273	R1-299	18	2.0A	C3	5	5	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41068,41114,41673,42408,42446
2273	R1-299	21	2.0A	C3	5	3	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41025,41169,42433
2273	R1-299	22	2.0A	C3	5	6	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41005,41075,41078,41992,42009,42124
2273	R1-299	23	2.0A	C3	5	1	Jaen	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40972
2273	R1-299	25	2.0A	C3	5	15	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41062,41096,41611,41707,41734,41846,42041,42346,42352,42360,42386,42396,42397,42398,42412
