distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2406	R1-008	33	2.0DHA	C4	5	1	Asturias	DISTRIBUCIÓN CANTÁBRICO	43385
2273	R1-299	04	2.0A	C4	5	1	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43381
2273	R1-299	07	2.0DHA	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44110
2273	R1-299	08	2.0A	C3	5	12	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43210,43211,43578,43579,43580,43581,43582,43977,44342,44343,44344,44734
2273	R1-299	08	2.0A	C4	5	17	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42285,42286,42287,42288,42289,42290,42291,42303,42503,42504,42553,42905,43215,43227,43377,43378,43773
2273	R1-299	08	2.0DHA	C4	5	2	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43336,43342
2273	R1-299	08	3.0A	C4	4	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42957
2273	R1-299	17	2.0A	C3	5	3	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43209,43584,44735
2273	R1-299	17	2.0A	C4	5	3	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42890,42934,42955
2273	R1-299	17	2.0DHA	C4	5	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42954,43560
2273	R1-299	22	2.0A	C3	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44341
2273	R1-299	22	3.0A	C3	4	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43976
2273	R1-299	50	2.0A	C4	5	1	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42953
2280	R1-001	02	2.0A	C4	5	1	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43216
2280	R1-001	03	2.0A	C4	5	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44149
2280	R1-001	12	2.0A	C3	5	1	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43585
2280	R1-001	20	2.0A	C3	5	1	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44349
2280	R1-001	26	2.0A	C4	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43206
2280	R1-001	28	2.0A	C3	5	4	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42914,43588,43979,44345
2280	R1-001	28	2.0A	C4	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43349
2280	R1-001	31	2.0A	C3	5	2	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43207,44346
2280	R1-001	46	2.0A	C3	5	3	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43586,43587,44348
2316	R1-002	15	2.0A	C3	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43214
2316	R1-002	15	2.0A	C4	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43595
2316	R1-002	24	2.0DHA	C3	5	1	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43213
