distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	3	1	1	0	0	2.0	0.0	0.0	Girona	ELECTRA AVELLANA, S.L.	43870	True
2273	R1-299	07	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43887	True
2273	R1-299	07	2.0A	C3	5	46	1	1	0	0	6.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43030	True
2273	R1-299	08	2.0A	C3	5	1	2	2	0	0	2.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43180,43531	True
2273	R1-299	08	2.0A	C3	5	2	4	4	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42849,43086,43154,43865	True
2273	R1-299	08	2.0A	C3	5	3	8	8	0	0	15.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43082,43147,43184,43474,43814,43880,43885,43952	True
2273	R1-299	08	2.0A	C3	5	46	6	5	1	0	29.0	8.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42542,42932,43028,43029,43596,43599	True
2273	R1-299	08	2.0A	C4	5	57	3	3	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43347,43558,44111	True
2273	R1-299	08	2.1A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44197	True
2273	R1-299	17	2.0A	C3	5	3	2	2	0	0	5.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42744,43049	True
2273	R1-299	17	2.0A	C3	5	46	1	0	1	0	0.0	8.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42480	True
2273	R1-299	17	2.0A	C4	5	13	1	1	0	0	5.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43384	True
2273	R1-299	22	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42917	True
2273	R1-299	25	2.0A	C3	5	11	1	1	0	0	5.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43221	True
2273	R1-299	25	2.0A	C3	5	3	4	4	0	0	11.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42735,42916,43344,43947	True
2273	R1-299	41	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42868	True
2273	R1-299	43	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44259	True
2273	R1-299	43	2.0A	C3	5	3	1	1	0	0	5.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43959	True
2273	R1-299	43	2.0A	C3	5	46	1	0	0	1	0.0	0.0	157.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	33991	True
2280	R1-001	28	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43163	True
2280	R1-001	42	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43069	True
2280	R1-001	46	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43928	True
2280	R1-001	46	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43439	True
2280	R1-001	46	2.0A	C3	5	53	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43615	True
2280	R1-001	47	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43171	True
2282	R1-014	17	2.0A	C3	5	57	1	1	0	0	1.0	0.0	0.0	Girona	AGRI ENERGIA ELECTRICA	43874	True
2316	R1-002	19	2.0DHA	C3	5	3	1	0	1	0	0.0	7.0	0.0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42476	True
2316	R1-002	28	2.0A	C3	5	2	1	1	0	0	3.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43382	True
2316	R1-002	28	2.0A	C3	5	40	1	1	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43151	True
2406	R1-008	33	2.0A	C3	5	55	1	1	0	0	0.0	0.0	0.0	Asturias	DISTRIBUCIÓN CANTÁBRICO	43136	True
3223	R1-176	17	2.0A	C3	5	99	1	0	0	1	0.0	0.0	103.0	Girona	ELÉCTRICA DE JAFRE, S.A.	38114	True
38200	R1-105	06	2.0A	C3	5	99	1	0	1	0	0.0	14.0	0.0	Badajoz	LA ERNESTINA, S.A.	41907	True
