distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	07	2.0A	C3	5	1	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42014	True
2273	R1-299	07	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41609	True
2273	R1-299	08	2.0A	C3	5	1	1	1	0	0	1.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41690	True
2273	R1-299	08	2.0A	C3	5	2	2	2	0	0	1.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41094,42414	True
2273	R1-299	08	2.0A	C3	5	3	5	5	0	0	10.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40930,41583,41586,42444,42448	True
2273	R1-299	08	2.0A	C3	5	46	6	4	2	0	22.0	15.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40669,41168,41850,41861,41864,42141	True
2273	R1-299	08	2.0A	C4	5	57	1	1	0	0	2.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42297	True
2273	R1-299	08	2.0DHA	C3	5	3	1	1	0	0	1.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42077	True
2273	R1-299	17	2.0A	C3	5	1	1	1	0	0	1.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41701	True
2273	R1-299	17	2.0A	C3	5	3	5	5	0	0	10.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40952,40962,41630,41679,42318	True
2273	R1-299	17	2.0A	C4	5	13	1	1	0	0	2.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42478	True
2273	R1-299	17	2.1A	C3	5	6	1	1	0	0	1.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41931	True
2273	R1-299	21	2.0A	C3	5	3	1	1	0	0	3.0	0.0	0.0	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40506	True
2273	R1-299	22	2.0A	C3	5	3	1	1	0	0	6.0	0.0	0.0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42124	True
2273	R1-299	25	2.0A	C3	5	3	2	1	1	0	6.0	16.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40609,41846	True
2273	R1-299	29	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40628	True
2273	R1-299	43	2.0A	C3	5	1	1	1	0	0	1.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42374	True
2280	R1-001	09	2.0A	C3	5	1	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41579	True
2280	R1-001	26	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41686	True
2280	R1-001	28	2.0A	C3	5	17	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41697	True
2280	R1-001	28	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40922	True
2280	R1-001	28	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42016	True
2280	R1-001	28	2.0DHA	C3	5	6	2	2	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41730,41858	True
2280	R1-001	31	2.0A	C3	5	20	3	3	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41308,41889,42123	True
2280	R1-001	31	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41960	True
2280	R1-001	46	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41722	True
2280	R1-001	46	2.0A	C3	5	36	2	2	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41087,41944	True
2280	R1-001	46	2.0A	C3	5	38	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41112	True
