distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	08	2.0A	C3	5	5	3	1	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39699,42120,42492,42500,42542	True
2273	R1-299	08	2.0DHA	C3	5	2	2	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42507,42551	True
2273	R1-299	17	2.0A	C3	5	1	1	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42480	True
2273	R1-299	17	2.1A	C3	5	1	1	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42538	True
2273	R1-299	25	2.0A	C3	5	2	1	0	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37345,42352	True
2273	R1-299	29	2.0A	C3	5	1	1	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42501	True
2273	R1-299	35	2.0A	C3	5	3	0	3	0	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41935,41938,42022	True
2273	R1-299	35	2.1A	C3	5	1	0	1	0	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42024	True
2273	R1-299	38	2.0A	C3	5	2	0	2	0	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41962,41963	True
2273	R1-299	43	2.0A	C3	5	1	0	0	1	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	33991	True
2273	R1-299	50	2.0A	C4	5	1	0	0	1	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40697	True
2280	R1-001	45	2.0A	C3	5	1	0	0	1	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	36474	True
2282	R1-014	17	2.0A	C3	5	3	0	0	3	Girona	AGRI ENERGIA ELECTRICA	10464,39494,40455	True
2301	R1-018	08	2.0A	C3	5	2	0	0	2	Barcelona	ESTABANELL Y PAHISA ENERGIA	9973,39788	True
2301	R1-018	17	2.0A	C3	5	1	0	1	0	Girona	ESTABANELL Y PAHISA ENERGIA	42038	True
2316	R1-002	13	2.0A	C3	5	1	0	1	0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41987	True
2316	R1-002	19	2.0DHA	C3	5	1	1	0	0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42476	True
2316	R1-002	28	2.0A	C3	5	1	0	0	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40979	True
2326	R1-015	17	2.0A	C3	5	2	0	0	2	Girona	BASSOLS ENERGÍA, S.A.	3797,38363	True
2326	R1-015	17	2.1A	C3	5	1	0	0	1	Girona	BASSOLS ENERGÍA, S.A.	38236	True
2401	R1-037	25	2.0A	C3	5	2	0	0	2	Lleida	ELECTRA DEL CARDENER, S.A.	26164,41022	True
2402	R1-062	17	2.0A	C3	5	1	0	0	1	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	40941	True
3245	R1-019	43	2.0A	C3	5	2	1	0	1	Tarragona	ELECTRICA DEL EBRO, S.A.	25914,42440	True
3245	R1-019	43	2.0DHA	C3	5	1	0	0	1	Tarragona	ELECTRICA DEL EBRO, S.A.	39757	True
3889	R1-254	31	2.0A	C3	5	1	0	1	0	Navarra	ELECTRA SALTEA, S.L.	41887	True
10866	R1-133	19	2.0A	C3	5	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	41077	True
10866	R1-133	19	2.0DHA	C3	5	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	23421	True
11861	R1-065	25	2.0A	C3	5	2	0	0	2	Lleida	ELECTRICA DE GUIXES, SL	25944,27316	True
11861	R1-065	25	2.1A	C3	5	1	0	1	0	Lleida	ELECTRICA DE GUIXES, SL	42048	True
16391	R1-028	41	2.0DHA	C3	5	1	0	0	1	Sevilla	MEDINA GARVEY, S.A.	38752	True
29047	R1-115	05	2.0A	C3	5	1	0	0	1	Avila	HIDROELÉCTRICA VEGA, S.A.	40887	True
32433	R1-325	25	2.1A	C3	5	1	0	0	1	Lleida	EMPRESA MUNICIPAL DE DISTRIBUCIO D'ENERGIA ELECTRICA D'ALMENAR, S.L.	27966	True
38200	R1-105	06	2.0DHA	C3	5	1	0	0	1	Badajoz	LA ERNESTINA, S.A.	38167	True
38500	R1-258	46	2.0A	C3	5	1	0	0	1	València	MILLARENSE DE ELECTRICIDAD, S.A.U	38682	True
39245	R1-344	22	2.0A	C3	5	1	0	0	1	Huesca	GESTIÓN DEL SERVICIO ELECTRICO HECHO S.L.	40136	True
39425	R1-220	36	2.0DHA	C3	5	1	0	0	1	Pontevedra	ELÉCTRICA DE CANTOÑA, S.L.	40480	True
39521	R1-047	06	2.0A	C3	5	1	0	0	1	Badajoz	FELIX GONZALEZ, S.A.	40556	True
40338	R1-119	30	2.0A	C3	5	1	1	0	0	Murcia	LEANDRO PEREZ ALFONSO, S.L.	42335	True
