distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	R1-299	18	2.0DHA	C3	5	2	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44929,44931
2273	R1-299	21	2.0A	C3	5	1	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44697
2273	R1-299	21	2.0DHA	C3	5	1	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45461
2273	R1-299	22	2.0A	C3	5	2	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45025,45916
2273	R1-299	22	2.0DHA	C3	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45030
2273	R1-299	25	2.0A	C3	5	19	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44621,44650,44652,44946,44960,45006,45121,45134,45135,45371,45424,45428,45443,45477,45496,45570,45950,46050,46087
2273	R1-299	25	2.0DHA	C3	5	4	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44654,45014,45023,45973
2273	R1-299	25	2.1DHA	C3	5	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45015
2273	R1-299	29	2.0A	C3	5	1	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45489
2273	R1-299	29	2.0DHA	C3	5	2	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44516,46055
2273	R1-299	29	2.1A	C3	5	1	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46019
2273	R1-299	35	2.0A	C3	5	2	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44630,44631
2273	R1-299	38	2.0A	C3	5	9	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44538,44633,44950,44988,46102,46105,46106,46107,46109
2273	R1-299	38	2.0DHA	C3	5	1	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46103
2273	R1-299	41	2.0A	C3	5	13	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44556,44574,44638,44683,44739,44955,44976,45349,45415,45422,45543,45976,46036
2273	R1-299	43	2.0A	C3	5	18	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44525,44532,44648,44924,44959,45083,45095,45369,45446,45501,45922,46001,46012,46017,46018,46026,46027,46043
2273	R1-299	43	2.0A	C4	5	1	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44374
2273	R1-299	43	2.0DHA	C3	5	3	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45389,45954,46078
2273	R1-299	43	3.0A	C3	4	3	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45036,46003,46127
2273	R1-299	44	2.0A	C3	5	3	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45917,45982,46005
2273	R1-299	50	2.0A	C3	5	14	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44658,45051,45058,45076,45411,45455,45479,45924,45937,45983,45990,46002,46085,46137
