distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	18	2.0A	C3	5	3	3	0	0	0.0	0.0	0.0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42745,43134,43475	True
2273	R1-299	21	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44263	True
2273	R1-299	22	2.0A	C3	5	2	2	0	0	0.0	0.0	0.0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43127,43148	True
2273	R1-299	22	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43066	True
2273	R1-299	25	2.0A	C3	5	16	16	0	0	13.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42352,42784,42870,43050,43068,43071,43502,43505,43770,43850,43866,43876,43907,44114,44131,44166	True
2273	R1-299	25	2.0A	C4	5	1	1	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43759	True
2273	R1-299	25	2.0DHA	C3	5	4	4	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43079,43095,43820,44162	True
2273	R1-299	25	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44187	True
2273	R1-299	25	3.0A	C3	4	2	2	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42823,43125	True
2273	R1-299	28	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Madrid	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44220	True
2273	R1-299	29	2.0A	C3	5	5	4	1	0	1.0	7.0	0.0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42501,43116,43815,43819,43845	True
2273	R1-299	29	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42760	True
2273	R1-299	41	2.0A	C3	5	16	16	0	0	0.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42762,42872,43142,43150,43158,43175,43190,43435,43442,43544,43796,43812,43919,44207,44233,44244	True
2273	R1-299	41	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43059	True
2273	R1-299	43	2.0A	C3	5	26	26	0	0	7.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42774,42782,43097,43098,43172,43186,43187,43436,43473,43516,43836,43868,43871,43898,43933,43974,43999,44109,44132,44158,44159,44183,44186,44204,44241,44278	True
2273	R1-299	43	2.0A	C4	5	1	1	0	0	1.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43340	True
2273	R1-299	43	2.0DHA	C3	5	3	3	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42861,43828,43914	True
2273	R1-299	43	3.0A	C3	4	1	1	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42725	True
2273	R1-299	44	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43562	True
2273	R1-299	44	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43509	True
2273	R1-299	50	2.0A	C3	5	11	11	0	0	1.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42741,42755,43073,43094,43133,43185,43555,43817,43818,44236,44295	True
2273	R1-299	50	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44206	True
2273	R1-299	50	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42848	True
2273	R1-299	50	3.0A	C3	4	2	2	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42808,44246	True
2280	R1-001	01	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42771	True
2280	R1-001	02	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44303	True
2280	R1-001	03	2.0A	C3	5	11	11	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42781,42837,43177,43192,43529,43853,43954,43955,44193,44306,44321	True
2280	R1-001	03	2.0A	C4	5	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43771	True
2280	R1-001	03	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42758	True
2280	R1-001	03	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43847	True
2280	R1-001	06	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Badajoz	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44217	True
2280	R1-001	09	2.0A	C3	5	3	3	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43197,43856,44210	True
2280	R1-001	10	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43485	True
2280	R1-001	12	2.0A	C3	5	9	9	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42764,42858,43084,43167,43929,43930,43931,44160,44161	True
2280	R1-001	16	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42806	True
2280	R1-001	19	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44287	True
2280	R1-001	20	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42728	True
2280	R1-001	20	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42839	True
2280	R1-001	24	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43438	True
2280	R1-001	26	2.0A	C3	5	5	5	0	0	5.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42743,43157,43492,43973,44179	True
2280	R1-001	28	2.0A	C3	5	41	41	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42780,42795,42811,42827,42843,43062,43091,43103,43126,43144,43170,43196,43443,43446,43462,43463,43470,43488,43495,43860,43896,43948,43953,44155,44157,44169,44175,44185,44215,44222,44235,44238,44253,44258,44279,44286,44293,44294,44305,44313,44314	True
2280	R1-001	28	2.0A	C4	5	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43379	True
2280	R1-001	28	2.0DHA	C3	5	4	4	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42906,43458,43523,44172	True
2280	R1-001	30	2.0A	C3	5	5	5	0	0	6.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42824,42825,43083,43891,43925	True
2280	R1-001	31	2.0A	C3	5	10	10	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42721,42788,42800,42801,42840,43178,43459,43478,43935,44205	True
2280	R1-001	37	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44311	True
2280	R1-001	37	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44203	True
2280	R1-001	39	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Cantabria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43155	True
2280	R1-001	45	2.0A	C3	5	2	2	0	0	0.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43904,44297	True
2280	R1-001	46	2.0A	C3	5	42	42	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42669,42759,42819,43056,43058,43081,43089,43117,43123,43130,43132,43135,43138,43139,43145,43165,43440,43445,43447,43448,43451,43454,43468,43476,43490,43493,43499,43518,43543,43550,43813,43875,43879,43910,43915,43917,44202,44216,44240,44272,44320,44352	True
2280	R1-001	46	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43888	True
2280	R1-001	46	2.1DHA	C3	5	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42734	True
2280	R1-001	46	3.0A	C3	4	3	3	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42757,43114,44237	True
2280	R1-001	46	3.1A	C3	5	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42850	True
2280	R1-001	47	2.0A	C3	5	2	2	0	0	0.0	0.0	0.0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42770,43554	True
2280	R1-001	47	2.0A	C4	5	1	1	0	0	0.0	0.0	0.0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	43218	True
2280	R1-001	48	2.0A	C3	5	3	3	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42815,43816,43920	True
2282	R1-014	17	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Girona	AGRI ENERGIA ELECTRICA	43840	True
2301	R1-018	08	2.0A	C3	5	1	0	0	1	0.0	0.0	49.0	Barcelona	ESTABANELL Y PAHISA ENERGIA	39788	True
2316	R1-002	13	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43472	True
2316	R1-002	15	2.0A	C3	5	4	4	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42750,43821,43886,44168	True
2316	R1-002	15	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44289	True
2316	R1-002	16	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Cuenca	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42753	True
2316	R1-002	19	2.0A	C3	5	2	2	0	0	0.0	0.0	0.0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	43053,43912	True
2316	R1-002	24	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42860	True
2316	R1-002	28	2.0A	C3	5	31	31	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42740,42742,42749,42761,42789,42833,43092,43105,43109,43200,43358,43444,43494,43501,43512,43524,43527,43553,43611,43822,43824,43872,43881,43893,43950,44184,44234,44252,44265,44270,44282	True
2316	R1-002	28	2.0DHA	C3	5	6	6	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42813,42821,43101,43852,44299,44302	True
2316	R1-002	32	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42842	True
2316	R1-002	36	2.0A	C3	5	3	3	0	0	0.0	0.0	0.0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42851,42855,43941	True
2316	R1-002	36	2.0DHA	C3	5	2	2	0	0	0.0	0.0	0.0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42856,43504	True
2326	R1-015	17	2.0A	C3	5	2	2	0	0	4.0	0.0	0.0	Girona	BASSOLS ENERGÍA, S.A.	43106,44130	True
2326	R1-015	17	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Girona	BASSOLS ENERGÍA, S.A.	42845	True
2406	R1-008	33	2.0A	C3	5	5	5	0	0	3.0	0.0	0.0	Asturias	DISTRIBUCIÓN CANTÁBRICO	43168,43360,43437,43923,44260	True
2437	R1-005	33	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Asturias	E.ON DISTRIBUCION S.L.	43939	True
2437	R1-005	34	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Palencia	E.ON DISTRIBUCION S.L.	43481	True
2437	R1-005	39	2.0A	C3	5	3	3	0	0	0.0	0.0	0.0	Cantabria	E.ON DISTRIBUCION S.L.	42754,43121,43513	True
2437	R1-005	39	2.0A	C4	5	1	1	0	0	0.0	0.0	0.0	Cantabria	E.ON DISTRIBUCION S.L.	44128	True
3223	R1-176	17	2.0A	C3	5	1	1	0	0	3.0	0.0	0.0	Girona	ELÉCTRICA DE JAFRE, S.A.	42554	True
3695	R1-009	16	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Cuenca	ELECTRICA CONQUENSE, S.A.	42751	True
6298	R1-021	11	2.0A	C3	5	1	0	1	0	0.0	9.0	0.0	Cádiz	SUMINISTRADORA ELECTRICA DE CADIZ, S.A.	43539	True
16391	R1-028	41	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Sevilla	MEDINA GARVEY, S.A.	43343	True
