distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2326	R1-015	17	2.0A	C3	5	2	2	0	0	10.0	0.0	0.0	0	0	0	Girona	BASSOLS ENERGÍA, S.A.	43106,44130
3742	R1-003	27	2.0A	C3	5	2	2	0	0	42.0	0.0	0.0	0	0	0	Lugo	DISTRIBUCIÓN BEGASA	42044,42368
3742	R1-003	27	3.0A	C3	4	1	1	0	0	19.0	0.0	0.0	0	0	0	Lugo	DISTRIBUCIÓN BEGASA	42404
2406	R1-008	33	2.0A	C3	5	2	2	0	0	98.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	40590,40963
2360	R1-107	08	2.0A	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Barcelona	DISTRIBUIDORA DE ENERGIA ELECTRICA DEL BAGES, S.A.	42334
2272	R1-091	17	2.0A	C3	5	1	1	0	0	2.0	0.0	0.0	0	0	0	Girona	ELECTRA AVELLANA, S.L.	43889
3695	R1-009	16	2.0A	C3	5	2	2	0	0	60.0	0.0	0.0	0	0	0	Cuenca	ELECTRICA CONQUENSE, S.A.	39797,42751
2273	R1-299	04	2.0A	C3	5	1	1	0	0	17.0	0.0	0.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43137
2273	R1-299	06	2.0DHA	C3	5	1	1	0	0	1.0	0.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43810
2273	R1-299	07	2.0A	C3	5	32	32	0	0	749.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39153,39181,39747,39765,40172,40468,40951,41606,41614,41650,41937,41942,41966,42126,42355,42393,42419,42435,42456,42792,42793,42799,42820,42822,43048,43080,43122,43182,43457,43460,43525,43591
2273	R1-299	07	2.1A	C3	5	1	1	0	0	59.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39248
2273	R1-299	08	2.0A	C3	5	245	245	0	0	5368.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39081,39128,39158,39216,39242,39675,39683,39748,39776,39804,40079,40122,40221,40235,40247,40270,40439,40453,40472,40522,40523,40539,40549,40555,40567,40577,40607,40622,40701,40931,40936,40945,40958,40965,40970,40976,40984,40988,40999,41015,41027,41035,41036,41040,41041,41058,41063,41083,41107,41111,41591,41596,41600,41607,41613,41616,41622,41625,41634,41644,41654,41660,41662,41668,41681,41683,41693,41700,41702,41703,41708,41709,41712,41713,41721,41723,41727,41735,41860,41925,41939,41946,41947,41955,41958,41959,41973,41974,41985,41990,41994,42003,42010,42013,42015,42018,42033,42036,42045,42049,42052,42068,42069,42071,42072,42314,42316,42321,42324,42325,42333,42349,42364,42370,42372,42375,42382,42391,42407,42411,42418,42431,42432,42434,42437,42439,42441,42447,42449,42452,42457,42459,42466,42492,42500,42724,42730,42733,42736,42737,42738,42739,42746,42765,42767,42768,42769,42773,42777,42779,42783,42786,42790,42794,42797,42798,42802,42805,42809,42810,42812,42814,42816,42817,42818,42826,42831,42834,42835,42836,42844,42853,42854,42862,42865,42866,42867,42869,42873,42874,42883,42918,42919,43052,43057,43060,43061,43063,43070,43072,43090,43096,43099,43104,43110,43112,43131,43140,43143,43152,43161,43164,43173,43174,43179,43193,43201,43220,43224,43345,43348,43354,43450,43453,43465,43467,43483,43496,43506,43520,43521,43528,43542,43546,43547,43552,43589,43594,43781,43782,43784,43833,43837,43844,43851,43855,43908,43926,43942,43946,43956,43980,44108,44113,44124
2273	R1-299	08	2.0A	C4	5	2	2	0	0	10.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43383,43790
2273	R1-299	08	2.0DHA	C3	5	9	9	0	0	247.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40206,40471,41079,41926,41948,41999,42507,42551,43768
2273	R1-299	08	2.1A	C3	5	6	6	0	0	240.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39146,39168,40165,40920,42752,43541
2273	R1-299	08	2.1DHA	C3	5	3	3	0	0	72.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40985,41646,42871
2273	R1-299	08	3.0A	C3	4	13	13	0	0	230.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40943,41685,42035,42060,42061,42348,42376,42392,42421,42422,42748,43503,43514
2273	R1-299	08	3.0A	C3	3	2	2	0	0	50.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40946,41055
2273	R1-299	14	2.0A	C3	5	2	2	0	0	29.0	0.0	0.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42319,43146
