distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2406	R1-008	33	2.0A	C3	5	5	5	0	0	87.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	43360,43437,43923,44260,44599
2406	R1-008	33	2.0DHA	C3	5	1	1	0	0	37.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	42373
2505	R1-232	31	2.0A	C3	5	1	1	0	0	42.0	0.0	0.0	0	0	0	Navarra	Electra Valdizarbe, S.A.	41953
3223	R1-176	17	2.0A	C3	5	1	1	0	0	31.0	0.0	0.0	0	0	0	Girona	ELÉCTRICA DE JAFRE, S.A.	42554
2273	R1-299	04	2.0A	C3	5	1	1	0	0	13.0	0.0	0.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44970
2273	R1-299	06	2.0A	C3	5	1	1	0	0	20.0	0.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43916
2273	R1-299	06	2.0DHA	C3	5	1	1	0	0	15.0	0.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43498
2273	R1-299	07	2.0A	C3	5	32	31	1	0	714.0	69.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40934,41046,41929,41984,42054,42328,42332,42384,42455,42469,42723,42756,43120,43449,43533,43848,43858,43869,44171,44226,44227,44239,44291,44496,44497,44498,44581,44583,45066,45067,45119,46054
2273	R1-299	07	2.0DHA	C3	5	4	4	0	0	56.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43461,44355,44579,44660
2273	R1-299	07	2.1A	C3	5	1	1	0	0	20.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43519
2273	R1-299	07	3.0A	C3	4	6	6	0	0	87.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43517,43535,43536,43537,43859,44700
