distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	2	0	0	2	0.0	0.0	933.0	0	0	0	Girona	ELECTRA AVELLANA, S.L.	13806,15528	True
2273	R1-299	06	2.0A	C3	5	1	0	1	0	0.0	7.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43916	True
2273	R1-299	06	2.0DHA	C3	5	1	0	1	0	0.0	14.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43498	True
2273	R1-299	07	2.0A	C3	5	33	8	8	17	0.0	91.0	2800.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	332,446,3529,39692,40934,40938,41046,41876,41929,41984,42054,42328,42332,42384,42455,42469,42756,43055,43449,43508,43533,43848,43858,43869,43873,44171,44226,44227,44239,44250,44283,44291,44322	True
2273	R1-299	07	2.0DHA	C3	5	1	0	1	0	0.0	14.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43461	True
2273	R1-299	07	2.1A	C3	5	1	0	1	0	0.0	14.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43519	True
2273	R1-299	07	3.0A	C3	4	3	0	3	0	0.0	42.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43517,43535,43537	True
2273	R1-299	08	2.0A	C3	5	270	73	91	106	39.0	1187.0	44950.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	274,291,311,364,383,384,390,396,400,408,410,411,437,439,449,456,476,480,484,508,537,543,553,558,577,579,580,598,602,607,620,639,662,663,690,703,706,726,747,754,756,761,781,785,822,1665,3672,3763,6752,6764,9099,9252,9291,9486,11796,13257,14277,15900,16006,19202,26806,28821,30920,31935,33543,36928,36944,40987,41023,41166,41645,41682,41691,41696,41737,41848,41927,41950,41993,41995,41998,42119,42342,42353,42358,42369,42377,42413,42420,42428,42460,42747,42785,42787,42791,42796,42803,42807,42828,42829,42841,42846,42847,42852,43031,43032,43054,43067,43074,43075,43076,43077,43078,43088,43093,43102,43107,43115,43118,43119,43141,43149,43153,43159,43160,43162,43181,43188,43189,43191,43194,43195,43198,43202,43441,43452,43464,43466,43479,43480,43482,43487,43491,43507,43511,43515,43526,43532,43534,43548,43549,43551,43556,43590,43593,43769,43772,43780,43783,43794,43795,43804,43807,43809,43811,43823,43825,43826,43827,43829,43830,43832,43835,43838,43839,43843,43854,43857,43861,43867,43878,43884,43894,43895,43899,43900,43901,43905,43906,43909,43911,43913,43921,43924,43936,43944,43957,43960,43961,43962,43981,43982,44112,44129,44141,44142,44154,44156,44163,44164,44167,44173,44174,44176,44177,44178,44181,44188,44189,44190,44191,44192,44195,44199,44200,44208,44211,44212,44213,44218,44219,44223,44224,44225,44228,44229,44230,44231,44242,44243,44245,44251,44254,44255,44257,44261,44262,44264,44268,44276,44277,44280,44284,44285,44288,44290,44296,44298,44300,44301,44304,44307,44308,44309,44312,44315,44316,44317,44318,44319	True
2273	R1-299	08	2.0A	C4	5	1	0	0	1	0.0	0.0	636.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4379	True
2273	R1-299	08	2.0DHA	C3	5	23	3	11	9	0.0	116.0	2790.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	293,309,329,21547,41928,42731,42763,42804,42857,43100,43108,43522,43758,43806,43808,43864,43877,43932,43937,43938,44248,44266,44274	True
