distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	2	0	0	2	0.0	0.0	993.0	0	0	0	Girona	ELECTRA AVELLANA, S.L.	13806,15528	True
2273	R1-299	04	2.0A	C3	5	1	0	0	1	0.0	0.0	30.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44170	True
2273	R1-299	07	2.0A	C3	5	35	2	16	17	4.0	173.0	2876.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	332,446,3529,39692,40938,41876,43055,43508,43873,44250,44283,44322,44509,44534,44541,44625,44692,44932,44953,44980,45003,45084,45120,45360,45370,45386,45406,45413,45460,45475,45476,45482,45521,45942,46011	True
2273	R1-299	07	2.0DHA	C3	5	1	1	0	0	2.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46083	True
2273	R1-299	07	2.1A	C3	5	1	0	1	0	0.0	8.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45417	True
2273	R1-299	08	2.0A	C3	5	319	68	80	171	136.0	809.0	48925.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	274,291,311,364,383,384,390,396,400,408,410,411,437,439,449,456,476,480,484,508,537,543,553,558,577,579,580,598,602,607,620,639,662,663,690,703,706,726,747,754,756,761,781,785,822,1665,3672,3763,6752,6764,9099,9252,9291,9486,11796,13257,14277,15900,16006,19202,26806,28821,30920,31935,33543,36928,36944,42807,43076,43118,43119,43149,43153,43188,43195,43202,43464,43479,43487,43511,43515,43526,43534,43548,43549,43556,43590,43593,43780,43783,43794,43807,43809,43811,43825,43826,43827,43829,43830,43832,43839,43899,43900,43906,43909,43911,43936,43944,43962,43981,43982,44129,44141,44156,44163,44167,44181,44190,44191,44192,44199,44200,44208,44224,44229,44230,44231,44245,44280,44284,44290,44298,44300,44304,44309,44353,44480,44489,44492,44493,44494,44502,44507,44510,44520,44537,44539,44544,44551,44552,44555,44558,44562,44569,44570,44576,44580,44582,44589,44615,44617,44623,44635,44641,44645,44656,44664,44675,44680,44688,44690,44926,44927,44934,44940,44944,44954,44967,44971,44981,44982,44983,44999,45001,45010,45029,45037,45053,45056,45072,45085,45108,45136,45348,45350,45351,45353,45354,45362,45364,45375,45377,45379,45380,45383,45385,45387,45388,45393,45394,45396,45403,45404,45407,45408,45410,45416,45418,45420,45421,45423,45427,45429,45431,45432,45433,45438,45444,45449,45450,45454,45457,45463,45464,45471,45474,45478,45483,45485,45490,45492,45493,45494,45495,45497,45498,45500,45502,45503,45504,45524,45908,45909,45911,45913,45920,45929,45932,45934,45936,45938,45940,45946,45948,45951,45953,45955,45956,45957,45958,45959,45960,45963,45966,45972,45974,45977,45979,45980,45981,45985,45986,45987,45989,45992,45994,45995,45996,45998,46006,46013,46016,46023,46025,46033,46035,46038,46041,46042,46046,46051,46059,46062,46063,46064,46068,46070,46072,46073,46076,46077,46079,46081,46088,46089,46094,46098,46100,46108	True
2273	R1-299	08	2.0A	C4	5	2	1	0	1	2.0	0.0	666.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4379,45591	True
2273	R1-299	08	2.0DHA	C3	5	14	5	1	8	10.0	8.0	2911.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	293,309,329,21547,43100,43806,43864,44274,45451,45919,45925,45964,46007,46053	True
2273	R1-299	08	2.1A	C3	5	12	0	3	9	0.0	39.0	4598.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	386,409,424,425,655,12953,43484,43530,44687,44986,45093,45356	True
2273	R1-299	08	2.1DHA	C3	5	6	0	3	3	0.0	32.0	2356.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	398,570,696,45005,45352,45430	True
2273	R1-299	08	3.0A	C3	4	5	3	1	1	6.0	16.0	483.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15269,44928,45939,45968,45969	True
2273	R1-299	11	2.0A	C3	5	4	1	0	3	2.0	0.0	69.0	0	0	0	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44608,44609,44643,46056	True
2273	R1-299	17	2.0A	C3	5	49	11	14	24	22.0	189.0	6164.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	334,778,6983,8069,8404,9170,9479,9526,10499,43085,43166,43834,43841,43842,44165,44196,44247,44256,44271,44328,44546,44547,44588,44593,44943,44979,44987,45016,45019,45039,45041,45054,45074,45133,45372,45402,45435,45466,45906,45941,45943,45970,45999,46024,46032,46037,46044,46065,46086	True
