distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2282	R1-014	17	2.0A	C3	5	1	Girona	AGRI ENERGIA ELECTRICA	43874
2282	R1-014	17	2.0DHA	C3	5	1	Girona	AGRI ENERGIA ELECTRICA	43840
2326	R1-015	17	2.0A	C3	5	3	Girona	BASSOLS ENERGÍA, S.A.	43106,43883,44130
2326	R1-015	17	2.1A	C3	5	1	Girona	BASSOLS ENERGÍA, S.A.	42845
2406	R1-008	33	2.0A	C3	5	6	Asturias	DISTRIBUCIÓN CANTÁBRICO	43136,43168,43360,43437,43923,44260
2272	R1-091	17	2.0A	C3	5	2	Girona	ELECTRA AVELLANA, S.L.	43870,43889
3695	R1-009	16	2.0A	C3	5	1	Cuenca	ELECTRICA CONQUENSE, S.A.	42751
39425	R1-220	36	2.0DHA	C3	5	2	Pontevedra	ELÉCTRICA DE CANTOÑA, S.L.	43045,43339
3223	R1-176	17	2.0A	C3	5	1	Girona	ELÉCTRICA DE JAFRE, S.A.	43129
5261	R1-038	43	2.0A	C3	5	1	Tarragona	ELÉCTRICA SEROSENSE DISTRIBUIDORA, S.L.	43862
2273	R1-299	04	2.0A	C3	5	2	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43137,44170
2273	R1-299	06	2.0A	C3	5	1	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43916
2273	R1-299	06	2.0DHA	C3	5	2	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43498,43810
2273	R1-299	07	2.0A	C3	5	35	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42723,42756,42792,42793,42799,42820,42822,42838,43030,43048,43055,43080,43120,43122,43182,43449,43457,43460,43508,43525,43533,43591,43848,43858,43869,43873,43887,44171,44226,44227,44239,44250,44283,44291,44322
2273	R1-299	07	2.0DHA	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43461
2273	R1-299	07	2.1A	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43519
2273	R1-299	07	3.0A	C3	4	5	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43517,43535,43536,43537,43859
