nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
1	0	0	1	07	2273	2.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8617	True
3	1	0	2	08	2273	2.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10080,11805,13788	True
1	0	0	1	08	2273	2.0DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12966	True
1	0	0	1	41	2273	2.0A	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623	True
2	0	0	2	43	2273	2.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9459	True
1	0	1	0	30	2280	2.0A	0021	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	13459	True
2	0	0	2	31	2280	2.0A	0021	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
2	0	1	1	46	2280	2.0A	0021	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,13241	True
2	0	0	2	17	2282	2.0A	0112	Girona	AGRI ENERGIA ELECTRICA	3039,10464	True
7	0	2	5	08	2301	2.0A	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	9973,11990,11993,12053,12783,13280,13390	True
3	0	1	2	28	2316	2.0A	0022	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9779,10138,13228	True
3	0	0	3	17	2326	2.0A	0122	Girona	BASSOLS ENERGÍA, S.A.	3797,10437,12597	True
1	0	0	1	08	2329	2.0A	0177	Barcelona	ELECTRA CALDENSE, S.A.	12766	True
1	0	0	1	17	2402	2.0A	0359	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	11984	True
1	1	0	0	17	2402	2.0DHA	0359	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	13726	True
2	0	1	1	17	3223	2.0A	0224	Girona	ELÉCTRICA DE JAFRE, S.A.	12672,13367	True
1	1	0	0	11	6431	2.0A	0264	Cádiz	ELECTRICIDAD DE PUERTO REAL, S.A. (EPRESA)	13634	True
1	1	0	0	25	7037	2.0A	0345	Lleida	PRODUCTORA ELECTRICA URGELENSE	13714	True
1	0	0	1	10	8704	2.0A	0102	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	12286	True
1	0	0	1	19	10866	2.0DHA	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
1	0	0	1	46	13288	2.0A	0492	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	12460	True
1	1	0	0	08	14870	2.0A	0192	Barcelona	ELECTRA DISTRIBUCIÓ CENTELLES, S.L.	13771	True
1	0	0	1	21	16391	2.0A	0339	Huelva	MEDINA GARVEY, S.A.	12635	True
1	0	0	1	36	20540	2.0A	0244	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	12631	True
1	0	0	1	22	21327	2.0A	0291	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	12634	True
1	0	0	1	03	23105	2.0A	0322	Alacant	HIJOS DE MANUEL PERLÉS VICENS, S.L.	12058	True
1	0	0	1	16	23383	2.0A	0356	Cuenca	SOCIEDAD ELECTRICA NTRA. SRA. DE LOS DESAMPARADOS	12519	True
