distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	0031	25	3.0A	C3	4	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7492
2280	0021	46	2.0A	C3	5	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8009
