distri	refdistribuidora	codiprovincia	tarname	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2272	0176	17	2.0A	1	0	0	1	Girona	ELECTRA AVELLANA, S.L.	9045	True
2273	0031	07	2.0A	1	0	0	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8617	True
2273	0031	08	2.0A	18	13	4	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10080,11805,11951,11959,11963,12155,12156,12267,12273,12446,12504,12505,12511,12542,12547,12598,12617,12620	True
2273	0031	08	2.0DHA	1	1	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12602	True
2273	0031	08	2.1A	1	0	1	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10565	True
2273	0031	17	2.0A	4	4	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12438,12506,12576,12578	True
2273	0031	18	2.0A	1	1	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12591	True
2273	0031	41	2.0A	2	1	0	1	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623,12452	True
2273	0031	43	2.0A	3	1	0	2	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9459,12157	True
2273	0031	43	3.0A	1	1	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12522	True
2273	0031	50	2.0A	1	1	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12541	True
2273	0031	50	2.1DHA	1	1	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12586	True
2280	0021	31	2.0A	2	0	0	2	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
2280	0021	46	2.0A	3	1	0	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,8475,12167	True
2301	0113	08	2.0A	4	0	2	2	Barcelona	ESTABANELL Y PAHISA ENERGIA	8270,9687,11763,12053	True
2301	0113	08	2.0DHA	1	0	0	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	7032	True
2316	0022	13	2.1DHA	1	0	0	1	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9796	True
2316	0022	28	2.0A	4	1	1	2	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9756,10138,10550,12564	True
2326	0122	17	2.0A	1	1	0	0	Girona	BASSOLS ENERGÍA, S.A.	12597	True
2402	0359	17	2.0A	2	0	2	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	10513,11984	True
3245	0232	43	2.0A	1	0	1	0	Tarragona	ELECTRICA DEL EBRO, S.A.	11696	True
3831	0463	50	2.0A	1	0	1	0	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	12088	True
4562	0336	17	2.0A	1	0	0	1	Girona	LERSA ELECTRICITAT, S.L.	7563	True
7037	0345	25	2.0A	1	1	0	0	Lleida	PRODUCTORA ELECTRICA URGELENSE	12455	True
7898	0189	12	2.0A	1	0	0	1	Castelló	ELECTRA DEL MAESTRAZGO, S.A. IB	10059	True
8704	0102	10	2.0A	1	1	0	0	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	12286	True
10866	0306	19	2.0DHA	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
13288	0492	46	2.0A	1	1	0	0	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	12460	True
16391	0339	21	2.0A	1	1	0	0	Huelva	MEDINA GARVEY, S.A.	12635	True
21327	0291	22	2.0A	1	1	0	0	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	12634	True
23105	0322	03	2.0A	1	0	1	0	Alacant	HIJOS DE MANUEL PERLÉS VICENS, S.L.	12058	True
23383	0356	16	2.0A	1	1	0	0	Cuenca	SOCIEDAD ELECTRICA NTRA. SRA. DE LOS DESAMPARADOS	12519	True
