distri	refdistribuidora	codiprovincia	tarname	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2273	0031	08	2.0A	5	4	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	31311,32538,32540,32548,32573	True
2273	0031	35	2.0A	3	1	0	2	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	30500,30886,32347	True
2280	0021	16	2.0A	1	0	0	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	30804	True
2282	0112	17	2.0A	2	0	0	2	Girona	AGRI ENERGIA ELECTRICA	10464,30404	True
2300	0211	17	2.0A	1	0	1	0	Girona	ELÉCTRICA CUROS, S.L.	32279	True
2301	0113	08	2.0A	7	0	2	5	Barcelona	ESTABANELL Y PAHISA ENERGIA	6771,9973,19937,29593,30445,31531,31554	True
2316	0022	15	2.0A	1	0	1	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	31490	True
2326	0122	17	2.0A	1	0	0	1	Girona	BASSOLS ENERGÍA, S.A.	3797	True
2401	0187	25	2.0A	2	0	1	1	Lleida	ELECTRA DEL CARDENER, S.A.	26164,31389	True
3245	0232	43	2.0A	1	0	0	1	Tarragona	ELECTRICA DEL EBRO, S.A.	25914	True
5261	0260	25	2.0A	1	0	0	1	Lleida	ELÉCTRICA SEROSENSE DISTRIBUIDORA, S.L.	29563	True
10866	0306	19	2.0DHA	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	23421	True
11861	0223	25	2.0A	2	0	0	2	Lleida	ELECTRICA DE GUIXES, SL	25944,27316	True
29047	0315	05	2.0A	1	0	1	0	Avila	HIDROELÉCTRICA VEGA, S.A.	32280	True
32433	0553	25	2.1A	1	0	0	1	Lleida	EMPRESA MUNICIPAL DE DISTRIBUCIO D'ENERGIA ELECTRICA D'ALMENAR, S.L.	27966	True
33980	0219	25	2.0A	1	0	0	1	Lleida	ELÉCTRICA DE DURRO, S.L.	30862	True
