nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
2	0	0	2	17	2272	2.0A	0176	Girona	ELECTRA AVELLANA, S.L.	28595,29659	True
1	0	0	1	17	2272	2.0DHA	0176	Girona	ELECTRA AVELLANA, S.L.	5345	True
15	0	0	15	07	2273	2.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29406,29422,29495,29549,29551,29579,29581,29583,29588,29596,29599,29600,29602,29612,29615	True
2	0	0	2	07	2273	2.0DHA	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29463,29494	True
109	0	0	109	08	2273	2.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4086,5320,5621,7071,14954,19129,19270,25391,25393,25526,26862,28817,28821,28825,29132,29373,29374,29383,29386,29387,29389,29390,29393,29394,29401,29405,29407,29417,29421,29423,29431,29432,29446,29447,29448,29449,29450,29453,29454,29455,29456,29459,29465,29467,29469,29471,29472,29473,29474,29476,29479,29482,29483,29484,29485,29488,29497,29498,29519,29520,29521,29522,29523,29524,29526,29528,29529,29531,29534,29535,29540,29543,29548,29550,29554,29555,29556,29560,29561,29562,29566,29568,29569,29572,29574,29575,29578,29585,29589,29594,29595,29597,29598,29603,29605,29608,29611,29613,29614,29616,29621,29622,29623,29626,29627,29629,29630,29631,29683	True
8	0	0	8	08	2273	2.0DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	16662,29458,29466,29552,29565,29567,29604,29625	True
5	0	0	5	08	2273	2.1A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28816,29370,29376,29451,29452	True
1	0	0	1	08	2273	2.1DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29538	True
4	0	0	4	08	2273	3.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	25398,29130,29415,29428	True
5	0	0	5	14	2273	2.0A	0031	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29409,29499,29500,29502,29635	True
1	0	0	1	14	2273	2.0DHA	0031	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29577	True
11	0	0	11	17	2273	2.0A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28813,29380,29381,29384,29434,29480,29508,29537,29564,29571,29609	True
1	0	0	1	17	2273	2.0DHA	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29438	True
1	0	0	1	17	2273	2.1A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29525	True
1	0	0	1	17	2273	3.0A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29590	True
1	0	0	1	18	2273	2.0A	0031	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29620	True
3	0	0	3	21	2273	2.0A	0031	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29504,29507,29527	True
4	0	0	4	22	2273	2.0A	0031	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29414,29557,29592,29633	True
8	0	0	8	25	2273	2.0A	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29424,29426,29515,29533,29576,29584,29601,29617	True
1	0	0	1	25	2273	2.0DHA	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29586	True
1	0	0	1	25	2273	2.1DHA	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29663	True
1	0	0	1	29	2273	2.0A	0031	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29501	True
12	0	0	12	35	2273	2.0A	0031	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	17485,19192,21359,22204,22205,23630,24064,25528,26569,26906,27264,28449	True
9	0	0	9	38	2273	2.0A	0031	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5487,14837,22168,23690,24080,24431,25558,26777,29475	True
7	0	0	7	41	2273	2.0A	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5339,26922,27044,29359,29391,29559,29646	True
1	0	0	1	41	2273	2.0DHA	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29505	True
15	0	0	15	43	2273	2.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	25392,29385,29388,29429,29430,29445,29468,29478,29491,29509,29514,29536,29539,29541,29690	True
1	0	0	1	44	2273	2.0A	0031	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	29397	True
9	0	0	9	50	2273	2.0A	0031	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28696,29377,29392,29464,29481,29510,29513,29570,29591	True
1	0	0	1	01	2280	2.0A	0021	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	29487	True
6	0	0	6	03	2280	2.0A	0021	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	29395,29410,29419,29461,29462,29477	True
3	0	0	3	03	2280	2.0DHA	0021	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	29402,29436,29544	True
3	0	0	3	09	2280	2.0A	0021	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	29403,29511,29618	True
1	0	0	1	09	2280	2.0DHA	0021	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	29413	True
