distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2273	0031	07	2.0A	C3	5	1	0	0	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8617	True
2273	0031	08	2.0A	C3	5	3	1	0	2	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10080,11805,13788	True
2273	0031	08	2.0DHA	C3	5	1	0	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12966	True
2273	0031	41	2.0A	C3	5	1	0	0	1	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623	True
2273	0031	43	2.0A	C3	5	2	0	0	2	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9459	True
2280	0021	30	2.0A	C3	5	1	0	1	0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	13459	True
2280	0021	31	2.0A	C3	5	2	0	0	2	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
2280	0021	46	2.0A	C3	5	2	0	1	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,13241	True
2282	0112	17	2.0A	C3	5	2	0	0	2	Girona	AGRI ENERGIA ELECTRICA	3039,10464	True
2301	0113	08	2.0A	C3	5	8	0	2	6	Barcelona	ESTABANELL Y PAHISA ENERGIA	6771,9973,11990,11993,12053,12783,13280,13390	True
2316	0022	28	2.0A	C3	5	3	0	1	2	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9779,10138,13228	True
2326	0122	17	2.0A	C3	5	3	0	0	3	Girona	BASSOLS ENERGÍA, S.A.	3797,10437,12597	True
2329	0177	08	2.0A	C3	5	1	0	0	1	Barcelona	ELECTRA CALDENSE, S.A.	12766	True
2402	0359	17	2.0A	C3	5	1	0	0	1	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	11984	True
2402	0359	17	2.0DHA	C3	5	1	1	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	13726	True
3223	0224	17	2.0A	C3	5	2	0	1	1	Girona	ELÉCTRICA DE JAFRE, S.A.	12672,13367	True
6431	0264	11	2.0A	C3	5	1	1	0	0	Cádiz	ELECTRICIDAD DE PUERTO REAL, S.A. (EPRESA)	13634	True
7037	0345	25	2.0A	C3	5	1	1	0	0	Lleida	PRODUCTORA ELECTRICA URGELENSE	13714	True
8704	0102	10	2.0A	C3	5	1	0	0	1	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	12286	True
10866	0306	19	2.0DHA	C3	5	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
13288	0492	46	2.0A	C3	5	1	0	0	1	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	12460	True
14870	0192	08	2.0A	C3	5	1	1	0	0	Barcelona	ELECTRA DISTRIBUCIÓ CENTELLES, S.L.	13771	True
16391	0339	21	2.0A	C3	5	1	0	0	1	Huelva	MEDINA GARVEY, S.A.	12635	True
20540	0244	36	2.0A	C3	5	1	0	0	1	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	12631	True
21327	0291	22	2.0A	C3	5	1	0	0	1	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	12634	True
23105	0322	03	2.0A	C3	5	1	0	0	1	Alacant	HIJOS DE MANUEL PERLÉS VICENS, S.L.	12058	True
23383	0356	16	2.0A	C3	5	1	0	0	1	Cuenca	SOCIEDAD ELECTRICA NTRA. SRA. DE LOS DESAMPARADOS	12519	True
