nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
1	0	0	1	17	2272	2.0A	0176	Girona	ELECTRA AVELLANA, S.L.	9045	True
1	0	0	1	07	2273	2.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8617	True
17	13	3	1	08	2273	2.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10080,11805,11959,11963,12155,12156,12267,12273,12446,12504,12505,12511,12542,12566,12598,12617,12620	True
4	3	1	0	08	2273	2.0DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11951,12463,12547,12602	True
1	0	1	0	08	2273	2.1A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10565	True
4	4	0	0	17	2273	2.0A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12438,12506,12576,12578	True
1	1	0	0	18	2273	2.0A	0031	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12591	True
2	1	0	1	41	2273	2.0A	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623,12452	True
3	1	0	2	43	2273	2.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9459,12157	True
1	1	0	0	43	2273	3.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12522	True
1	1	0	0	50	2273	2.0A	0031	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12541	True
1	1	0	0	50	2273	2.1DHA	0031	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12586	True
2	0	0	2	31	2280	2.0A	0021	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
3	1	0	2	46	2280	2.0A	0021	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,8475,12167	True
2	0	1	1	17	2282	2.0A	0112	Girona	AGRI ENERGIA ELECTRICA	3039,10464	True
8	0	4	4	08	2301	2.0A	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	8093,8270,9687,9973,11763,11990,11993,12053	True
2	0	0	2	08	2301	2.0DHA	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	7032,7907	True
1	0	0	1	13	2316	2.1DHA	0022	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9796	True
5	1	1	3	28	2316	2.0A	0022	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9756,9779,10138,10550,12564	True
3	1	1	1	17	2326	2.0A	0122	Girona	BASSOLS ENERGÍA, S.A.	3797,10437,12597	True
2	0	2	0	17	2402	2.0A	0359	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	10513,11984	True
1	0	1	0	43	3245	2.0A	0232	Tarragona	ELECTRICA DEL EBRO, S.A.	11696	True
1	0	1	0	50	3831	2.0A	0463	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	12088	True
1	0	0	1	17	4562	2.0A	0336	Girona	LERSA ELECTRICITAT, S.L.	7563	True
1	1	0	0	25	7037	2.0A	0345	Lleida	PRODUCTORA ELECTRICA URGELENSE	12455	True
1	0	0	1	12	7898	2.0A	0189	Castelló	ELECTRA DEL MAESTRAZGO, S.A. IB	10059	True
1	1	0	0	10	8704	2.0A	0102	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	12286	True
1	0	1	0	05	10117	2.0A	0316	Avila	HIDROELÉCTRICA VIRGEN DE CHILLA, S.L.	10613	True
1	0	0	1	19	10866	2.0DHA	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
1	1	0	0	46	13288	2.0A	0492	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	12460	True
1	1	0	0	21	16391	2.0A	0339	Huelva	MEDINA GARVEY, S.A.	12635	True
1	1	0	0	36	20540	2.0A	0244	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	12631	True
1	1	0	0	22	21327	2.0A	0291	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	12634	True
1	0	1	0	03	23105	2.0A	0322	Alacant	HIJOS DE MANUEL PERLÉS VICENS, S.L.	12058	True
1	1	0	0	16	23383	2.0A	0356	Cuenca	SOCIEDAD ELECTRICA NTRA. SRA. DE LOS DESAMPARADOS	12519	True
