distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2273	0031	08	3.0A	C3	4	5	3	0	2	3.0	0.0	71.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6530,7528,9414,9468,9527	True
2273	0031	11	2.0A	C3	5	4	4	0	0	10.0	0.0	0.0	0	0	0	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9106,9107,9451,9540	True
2273	0031	14	2.0A	C3	5	16	4	5	7	13.0	62.0	502.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1884,2821,5563,6409,6745,6791,7068,8037,8320,8463,8524,8618,9038,9089,9158,9529	True
2273	0031	14	2.1A	C3	5	1	0	0	1	0.0	0.0	183.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1012	True
2273	0031	14	3.0A	C3	4	1	1	0	0	1.0	0.0	0.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9532	True
2273	0031	17	2.0A	C3	5	92	23	21	48	62.0	311.0	3923.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	334,585,778,1074,1375,1419,1668,1677,1791,1920,2478,2813,2958,3468,4551,4630,4648,4840,4841,4842,4915,5048,5547,5613,5614,5658,5900,5950,6427,6533,6765,6776,6850,6856,6859,6969,6983,6992,7024,7030,7114,7410,7421,7482,7514,7561,7632,7633,7728,7842,7861,7862,7863,7882,7942,7977,7988,8048,8069,8315,8404,8410,8419,8424,8476,8501,8505,8612,8627,9048,9100,9113,9124,9137,9141,9161,9170,9200,9234,9235,9237,9269,9332,9448,9479,9515,9519,9521,9523,9524,9526,9555	True
2273	0031	17	2.0DHA	C3	5	3	0	1	2	0.0	11.0	265.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	438,6135,8477	True
2273	0031	17	2.1A	C3	5	4	0	1	3	0.0	18.0	382.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	401,2359,7574,8058	True
2273	0031	17	2.1DHA	C3	5	1	0	0	1	0.0	0.0	165.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1517	True
2273	0031	17	3.0A	C3	4	2	0	1	1	0.0	11.0	95.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4095,8478	True
