count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	distriid	refdistribuidora	tarname	codiprovincia	nomprovincia	distriname	casos
24	24	0	0	614.0	0.0	0.0	0	0	0	2273	0031	2.0A	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6456,7044,7092,7505,7935,7945,7947,7950,7980,8032,8418,8443,8497,8578,8597,9015,9248,9250,9285,9494,9495,9496,10517,10600
1	1	0	0	15.0	0.0	0.0	0	0	0	2273	0031	2.0DHA	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8644
1	1	0	0	25.0	0.0	0.0	0	0	0	2273	0031	2.1A	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7912
1	1	0	0	16.0	0.0	0.0	0	0	0	2273	0031	2.1DHA	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10423
2	2	0	0	26.0	0.0	0.0	0	0	0	2273	0031	3.0A	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8616,9464
4	4	0	0	99.0	0.0	0.0	0	0	0	2273	0031	2.0A	29	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6738,7109,9262,9499
1	1	0	0	52.0	0.0	0.0	0	0	0	2273	0031	2.0DHA	29	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7090
4	4	0	0	81.0	0.0	0.0	0	0	0	2273	0031	2.0A	41	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8023,8274,9279,11982
29	29	0	0	888.0	0.0	0.0	0	0	0	2273	0031	2.0A	43	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5609,6666,6772,6781,6867,6952,7023,7107,7141,7142,7427,7490,7558,7598,7844,7974,8506,8515,8550,8552,8562,9039,9207,9255,9426,9436,9480,9520,11693
2	2	0	0	90.0	0.0	0.0	0	0	0	2273	0031	2.1A	43	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6887,8013
1	1	0	0	28.0	0.0	0.0	0	0	0	2273	0031	2.1DHA	44	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7570
1	1	0	0	36.0	0.0	0.0	0	0	0	2273	0031	2.0A	46	València	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7618
25	25	0	0	789.0	0.0	0.0	0	0	0	2273	0031	2.0A	50	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6366,6459,6723,7045,7441,7511,7515,7520,7919,7994,8362,8439,8488,8491,8511,8521,8543,9194,9204,9208,9425,9563,9669,10438,10501
5	5	0	0	50.0	0.0	0.0	0	0	0	2437	0027	2.0A	39	Cantabria	E.ON DISTRIBUCION S.L.	8525,9105,10452,10455,10601
1	1	0	0	31.0	0.0	0.0	0	0	0	2437	0027	2.1A	39	Cantabria	E.ON DISTRIBUCION S.L.	9083
1	1	0	0	41.0	0.0	0.0	0	0	0	2280	0021	2.0A	01	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8479
3	3	0	0	70.0	0.0	0.0	0	0	0	2280	0021	2.0A	02	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6825,10467,12106
1	1	0	0	30.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	02	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7636
29	29	0	0	736.0	0.0	0.0	0	0	0	2280	0021	2.0A	03	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6133,6502,7468,7471,7550,7903,7904,7970,7987,7990,8021,8353,8381,8420,8503,8529,8581,8845,9120,9122,9138,9139,9168,9355,9356,9373,9392,10425,11658
3	3	0	0	103.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	03	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6880,9164,9167
3	3	0	0	42.0	0.0	0.0	0	0	0	2280	0021	2.0A	05	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8034,9664,10576
5	5	0	0	169.0	0.0	0.0	0	0	0	2280	0021	2.0A	09	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7075,7601,8064,9281,9383
1	1	0	0	27.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	09	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9382
3	3	0	0	74.0	0.0	0.0	0	0	0	2280	0021	2.0A	10	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8090,9393,10052
1	1	0	0	24.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	10	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9407
15	15	0	0	266.0	0.0	0.0	0	0	0	2280	0021	2.0A	12	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6695,7888,8430,8468,9160,9358,9388,9631,9645,9679,10027,10436,10479,11651,12103
2	2	0	0	26.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	12	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9243,10591
1	1	0	0	35.0	0.0	0.0	0	0	0	2280	0021	2.1DHA	12	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6949
5	5	0	0	186.0	0.0	0.0	0	0	0	2280	0021	2.0A	16	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7837,7838,7839,9055,9190
1	1	0	0	43.0	0.0	0.0	0	0	0	2280	0021	2.1DHA	16	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7946
2	2	0	0	74.0	0.0	0.0	0	0	0	2280	0021	2.0A	19	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7887,7895
1	1	0	0	27.0	0.0	0.0	0	0	0	2280	0021	2.0A	20	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8643
12	12	0	0	276.0	0.0	0.0	0	0	0	2280	0021	2.0A	26	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6411,6497,6537,6734,7925,8339,9359,10523,11685,11777,11779,12161
1	1	0	0	42.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	26	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7836
1	1	0	0	15.0	0.0	0.0	0	0	0	2280	0021	2.1A	26	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8338
55	55	0	0	1474.0	0.0	0.0	0	0	0	2280	0021	2.0A	28	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6112,6390,7021,7066,7085,7106,7216,7242,7411,7412,7436,7506,7507,7577,7581,7611,7621,7853,7859,7885,8066,8119,8314,8367,8385,8388,8428,8441,8526,8594,9018,9052,9069,9136,9144,9212,9217,9225,9277,9287,9376,9379,9391,9394,9396,9404,9617,10019,10090,10441,10518,11648,11723,12153,12158
6	6	0	0	182.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	28	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6396,6872,7020,8359,11096,11795
8	8	0	0	198.0	0.0	0.0	0	0	0	2280	0021	2.0A	30	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7848,7954,8063,8576,9150,9213,10431,11649
32	32	0	0	857.0	0.0	0.0	0	0	0	2280	0021	2.0A	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6987,7017,7080,7499,7615,7628,7936,7962,7969,7986,8030,8072,8341,8453,8456,8551,8588,9056,9111,9123,9130,9159,9348,9371,9395,9402,9634,9654,9677,10025,11713,11749
3	3	0	0	78.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8042,8461,8538
1	1	0	0	31.0	0.0	0.0	0	0	0	2280	0021	2.1A	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7537
1	1	0	0	43.0	0.0	0.0	0	0	0	2280	0021	2.0A	34	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7000
1	1	0	0	50.0	0.0	0.0	0	0	0	2280	0021	2.0A	37	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6682
1	1	0	0	23.0	0.0	0.0	0	0	0	2280	0021	2.0A	42	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9046
3	3	0	0	73.0	0.0	0.0	0	0	0	2280	0021	2.0A	45	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6995,9310,9367
57	57	0	0	1547.0	0.0	0.0	0	0	0	2280	0021	2.0A	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5929,5982,6057,6448,6501,6700,6703,6708,6712,6786,6989,7087,7088,7095,7398,7442,7640,7894,7937,7955,8020,8026,8028,8040,8328,8421,8425,8445,8455,8460,8474,8484,8535,8591,9051,9085,9095,9102,9112,9179,9215,9254,9363,9368,9381,9390,9400,9406,9629,9644,9657,9658,10445,10494,10585,10589,11063
1	1	0	0	41.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6884
2	2	0	0	47.0	0.0	0.0	0	0	0	2280	0021	2.1DHA	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9163,10483
6	5	1	0	132.0	69.0	0.0	0	0	0	2280	0021	2.0A	47	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6121,8375,8377,8556,9097,9661
1	0	1	0	0.0	69.0	0.0	0	0	0	2280	0021	2.0DHA	47	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6147
17	17	0	0	239.0	0.0	0.0	0	0	0	2280	0021	2.0A	48	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7038,7642,7964,7965,8318,8330,8590,9028,9283,9370,10056,10490,10510,10596,10599,11761,11986
1	1	0	0	10.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	48	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9029
1	1	0	0	21.0	0.0	0.0	0	0	0	2280	0021	2.0DHA	49	Zamora	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9050
1	1	0	0	33.0	0.0	0.0	0	0	0	2316	0022	2.0A	13	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8638
1	1	0	0	43.0	0.0	0.0	0	0	0	2316	0022	2.1DHA	13	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6892
9	9	0	0	122.0	0.0	0.0	0	0	0	2316	0022	2.0A	15	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7053,8345,8346,8347,8348,8349,9180,9230,9602
2	2	0	0	9.0	0.0	0.0	0	0	0	2316	0022	2.0DHA	15	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9596,12271
1	1	0	0	13.0	0.0	0.0	0	0	0	2316	0022	2.0DHA	19	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8533
2	2	0	0	23.0	0.0	0.0	0	0	0	2316	0022	2.0A	24	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9219,9605
30	30	0	0	717.0	0.0	0.0	0	0	0	2316	0022	2.0A	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6186,6724,7086,7111,7404,7408,7485,7718,7951,8275,8276,8277,8369,8500,8582,9016,9043,9053,9218,9223,9597,9598,10042,10439,10580,10695,11011,11689,11792,12111
4	4	0	0	82.0	0.0	0.0	0	0	0	2316	0022	2.0DHA	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6871,9295,9612,11968
1	1	0	0	56.0	0.0	0.0	0	0	0	2316	0022	2.1A	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7022
1	1	0	0	38.0	0.0	0.0	0	0	0	2316	0022	2.0A	32	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7594
4	4	0	0	101.0	0.0	0.0	0	0	0	2316	0022	2.0A	36	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7624,8344,9116,9184
1	1	0	0	1.0	0.0	0.0	0	0	0	2316	0022	2.0A	40	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9916
1	1	0	0	6.0	0.0	0.0	0	0	0	2316	0022	2.0DHA	40	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	10135
