distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	R1-299	07	3.0A	C3	3	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8632
2273	R1-299	08	2.0A	C3	5	5	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8164,8165,9300,9302,9572
2273	R1-299	43	2.0A	C3	5	1	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9301
2280	R1-001	48	2.0A	C3	5	1	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7648
2316	R1-002	28	2.0A	C3	5	3	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8636,9326,9690
