distri	refdistribuidora	codiprovincia	tarname	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	0031	25	2.0A	21	21	0	0	8.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10428,10448,10485,10517,10532,10546,10561,10562,10600,10653,11034,11691,11772,11816,11978,12032,12094,12516,12517,12590,12610	True
2273	0031	25	2.0DHA	3	3	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11683,11973,12612	True
2273	0031	25	2.1A	2	2	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12596,12618	True
2273	0031	25	2.1DHA	2	2	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10423,12520	True
2273	0031	29	2.0A	2	2	0	0	0.0	0.0	0.0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11751,12640	True
2273	0031	41	2.0A	8	8	0	0	2.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9606,10978,11647,11676,11982,12503,12606,12624	True
2273	0031	42	2.0A	2	2	0	0	6.0	0.0	0.0	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11958,12456	True
2273	0031	43	2.0A	23	23	0	0	16.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9426,9474,9476,9626,9638,9643,10426,10435,10484,10514,10537,10547,10559,11693,11765,11797,12101,12112,12538,12552,12581,12616,12628	True
2273	0031	43	2.0DHA	1	1	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12036	True
2273	0031	43	2.1A	1	1	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12575	True
2273	0031	43	2.1DHA	1	1	0	0	0.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10536	True
2273	0031	44	2.0A	2	2	0	0	0.0	0.0	0.0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11664,12061	True
2273	0031	50	2.0A	18	17	1	0	0.0	7.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9650,9669,10438,10478,10481,10488,10501,10534,10607,11724,11950,11983,11992,12010,12059,12551,12572,12573	True
2273	0031	50	2.1A	1	1	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11669	True
2280	0021	02	2.0A	3	3	0	0	0.0	0.0	0.0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10467,12106,12518	True
2280	0021	03	2.0A	13	13	0	0	1.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9633,9667,10054,10425,11650,11658,11716,12107,12174,12448,12462,12549,12550	True
2280	0021	03	2.1DHA	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	12477	True
2280	0021	05	2.0A	5	5	0	0	0.0	0.0	0.0	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9664,10576,11728,11768,12430	True
2280	0021	09	2.0A	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10442	True
2280	0021	09	2.0DHA	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9660	True
2280	0021	10	2.0A	3	3	0	0	0.0	0.0	0.0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10052,10500,12108	True
2280	0021	12	2.0A	11	11	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9631,9645,9679,10027,10436,10479,10533,10543,10598,11651,12103	True
2280	0021	12	2.0DHA	1	1	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10591	True
2280	0021	20	2.0A	1	1	0	0	2.0	0.0	0.0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11025	True
2280	0021	24	2.0A	4	4	0	0	0.0	0.0	0.0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9663,12050,12510,12554	True
2280	0021	26	2.0A	12	12	0	0	2.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9616,10095,10523,10528,11685,11729,11777,11779,11784,12042,12161,12524	True
2280	0021	28	2.0A	46	46	0	0	10.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9611,9617,9648,9672,9678,10015,10019,10090,10441,10450,10474,10518,10525,10575,10584,10595,10606,10981,10998,11648,11654,11723,11726,11735,11766,11775,11786,11790,11948,12012,12020,12040,12043,12057,12074,12077,12092,12104,12152,12153,12158,12449,12481,12595,12603,12604	True
2280	0021	28	2.0DHA	3	3	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11096,11795,11995	True
2280	0021	30	2.0A	5	5	0	0	0.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10431,11649,12269,12512,12514	True
2280	0021	31	2.0A	31	30	1	0	6.0	17.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9571,9634,9637,9647,9654,9677,10025,10069,10493,10551,10554,11083,11677,11698,11713,11749,11760,11989,12026,12162,12163,12433,12444,12447,12451,12487,12491,12539,12569,12580,12630	True
2280	0021	31	2.0DHA	4	4	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11701,11703,12215,12496	True
2280	0021	37	2.0A	1	1	0	0	2.0	0.0	0.0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11090	True
