count	distriid	distriref	codiprovincia	nomprovincia	distriname	casos
5	2280	0021	26	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5424,5644,6105,6950,8466
48	2280	0021	28	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4870,4908,5011,5395,5495,5539,5548,5649,5739,5744,5773,5979,6021,6378,6389,6504,6510,6732,6736,6757,6785,6794,6801,6832,6854,6857,6973,7002,7004,7120,7474,7508,7576,7616,7622,7635,7639,7915,7952,8033,8073,8077,8337,8415,8427,8454,8557,9384
4	2280	0021	30	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6486,6488,6489,8567
26	2280	0021	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5162,5501,5683,5733,5735,5763,5935,6008,6332,6451,6477,6516,6623,6624,6701,6707,6787,7210,7402,7454,7465,7542,8074,8081,8335,9209
2	2280	0021	34	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6067,6980
1	2280	0021	37	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8433
1	2280	0021	39	Cantabria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6967
2	2280	0021	42	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6521,6526
4	2280	0021	45	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5469,6692,7567,8088
53	2280	0021	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4833,4933,5205,5489,5553,5588,5670,5712,5724,5752,5782,6034,6087,6116,6412,6417,6443,6457,6458,6474,6507,6675,6699,6713,6718,6728,6768,6804,6805,6815,6822,6835,6956,6959,7011,7072,7096,7400,7459,7523,7855,7966,7968,8003,8010,8025,8046,8087,8373,8469,8508,9155,9275
2	2280	0021	47	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5179,5592
10	2280	0021	48	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5146,5157,5527,5624,5837,6120,6792,7006,8078,8343
1	2316	0022	13	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7013
3	2316	0022	15	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6380,7098,7243
2	2316	0022	19	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	5272,8411
1	2316	0022	24	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7416
27	2316	0022	28	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	5668,5764,5876,5962,5995,6038,6125,6420,6673,6721,6789,6795,7010,7040,7047,7076,7463,7527,7646,7873,7922,7983,8482,8483,8528,8539,9278
1	2316	0022	36	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7623
1	2406	0026	33	Asturias	DISTRIBUCIÓN CANTÁBRICO	5063
1	3695	0032	16	Cuenca	ELECTRICA CONQUENSE, S.A.	5402
2	2273	0031	04	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5019,5839
33	2273	0031	08	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5450,5451,5529,5541,5590,5692,5783,5802,5828,6367,6428,6461,6494,6500,6506,6519,6881,6975,7003,7077,7462,7466,7524,7723,7923,7934,7981,7997,8019,8580,8622,9074,9274
1	2273	0031	11	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7607
1	2273	0031	17	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8014
1	2273	0031	18	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6875
1	2273	0031	21	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6118
1	2273	0031	22	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6144
3	2273	0031	25	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5017,5580,5627
3	2273	0031	43	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5025,5492,6387
4	2273	0031	50	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5557,6143,6890,7857
1	2280	0021	01	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6134
8	2280	0021	03	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5569,6678,6886,7470,7841,7920,7948,8325
1	2280	0021	05	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6368
2	2280	0021	09	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4916,6145
4	2280	0021	12	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6620,6828,6876,8387
1	2280	0021	24	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5716
1	2280	0021	26	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6452
6	2280	0021	28	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7009,8001,8357,8380,8407,9101
2	2280	0021	31	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6140,7627
3	2280	0021	45	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5757,6377,6626
5	2280	0021	46	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5245,5702,6142,6820,8342
2	2280	0021	47	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4501,7449
