distri	refdistribuidora	codiprovincia	tarname	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	0031	50	2.0A	11	4	4	0	0	6.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9828,9842,10712,10780	True
2273	0031	50	2.1DHA	11	1	1	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10071	True
2280	0021	01	2.0A	11	2	2	0	0	0.0	0.0	0.0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9831,10079	True
2280	0021	02	2.0A	11	1	1	0	0	0.0	0.0	0.0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9941	True
2280	0021	03	2.0A	11	11	11	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9789,9823,9830,9833,9868,9945,9953,9955,9964,10851,10934	True
2280	0021	03	2.0A	36	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11845	True
2280	0021	03	2.0DHA	11	3	3	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9867,9872,9892	True
2280	0021	06	2.0A	11	2	2	0	0	0.0	0.0	0.0	Badajoz	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9810,10075	True
2280	0021	09	2.0A	11	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	10944	True
2280	0021	09	2.0A	6	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11860	True
2280	0021	09	2.0DHA	36	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11852	True
2280	0021	10	2.0A	11	1	1	0	0	0.0	0.0	0.0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9787	True
2280	0021	12	2.0A	11	5	5	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9762,9785,9928,9935,10050	True
2280	0021	12	2.0A	36	2	2	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	11848,11851	True
