nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
1	0	0	1	17	2272	2.0DHA	0176	Girona	ELECTRA AVELLANA, S.L.	5345	True
16	16	0	0	07	2273	2.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28117,28136,28400,28401,28404,28405,28408,28412,28434,28443,28482,28488,28492,28523,28528,28543	True
2	2	0	0	07	2273	3.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28403,28432	True
65	51	2	12	08	2273	2.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4086,5320,5621,7071,14954,19129,19270,25391,25393,25526,26806,26862,27408,27409,28387,28388,28389,28390,28395,28397,28414,28418,28419,28433,28436,28453,28455,28458,28459,28460,28463,28464,28466,28467,28468,28469,28470,28471,28472,28473,28474,28475,28480,28487,28489,28498,28500,28506,28507,28508,28509,28511,28513,28514,28524,28531,28532,28534,28535,28536,28540,28545,28547,28548,28549	True
4	3	0	1	08	2273	2.0DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	16662,28426,28428,28497	True
3	3	0	0	08	2273	2.1A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28399,28427,28441	True
1	0	0	1	08	2273	3.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	25398	True
1	1	0	0	11	2273	2.0A	0031	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28407	True
2	2	0	0	14	2273	2.0A	0031	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28478,28525	True
1	1	0	0	14	2273	2.1DHA	0031	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28440	True
6	6	0	0	17	2273	2.0A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28114,28413,28417,28494,28529,28530	True
3	3	0	0	18	2273	2.0A	0031	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28431,28462,28479	True
1	1	0	0	21	2273	2.0A	0031	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28477	True
2	2	0	0	25	2273	2.0A	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28447,28491	True
1	1	0	0	25	2273	2.1A	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28411	True
12	1	1	10	35	2273	2.0A	0031	Las Palmas	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	17485,19192,21359,22204,22205,23630,24064,25528,26569,26906,27264,28449	True
8	0	0	8	38	2273	2.0A	0031	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5487,14837,22168,23690,24080,24431,25558,26777	True
6	3	0	3	41	2273	2.0A	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5339,26922,27044,28457,28522,28546	True
1	1	0	0	41	2273	2.0DHA	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28452	True
8	7	0	1	43	2273	2.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	25392,28115,28398,28402,28437,28456,28512,28541	True
9	8	1	0	50	2273	2.0A	0031	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28106,28415,28435,28438,28445,28476,28505,28517,28521	True
1	1	0	0	50	2273	2.1A	0031	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28499	True
1	0	0	1	12	2280	2.0A	0021	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5333	True
1	0	0	1	26	2280	2.0A	0021	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	25496	True
1	0	0	1	28	2280	2.0DHA	0021	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5366	True
1	1	0	0	31	2280	2.0A	0021	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	28135	True
1	1	0	0	31	2280	2.1DHA	0021	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	28132	True
2	0	0	2	46	2280	2.0A	0021	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5326,5368	True
1	0	0	1	46	2280	2.0DHA	0021	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5365	True
13	0	1	12	17	2282	2.0A	0112	Girona	AGRI ENERGIA ELECTRICA	946,3038,3039,5332,5340,5358,7953,10464,16941,24950,25510,25733,27117	True
1	0	0	1	None	2282	2.0A	0112	None	AGRI ENERGIA ELECTRICA	5335	True
1	0	1	0	17	2300	2.0A	0211	Girona	ELÉCTRICA CUROS, S.A.	27963	True
1	0	0	1	17	2300	2.0DHA	0211	Girona	ELÉCTRICA CUROS, S.A.	6541	True
10	0	0	10	08	2301	2.0A	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	645,5312,6771,9973,19234,19937,23263,24680,25547,26527	True
1	0	0	1	08	2301	2.0DHA	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	25613	True
1	1	0	0	13	2316	2.0A	0022	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	28442	True
1	1	0	0	13	2316	2.1A	0022	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	28483	True
5	4	0	1	28	2316	2.0A	0022	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	25961,28393,28409,28451,28501	True
2	2	0	0	28	2316	2.0DHA	0022	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	28454,28542	True
1	1	0	0	36	2316	2.0A	0022	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	28448	True
6	0	0	6	17	2326	2.0A	0122	Girona	BASSOLS ENERGÍA, S.A.	1846,3797,5314,24141,26595,26849	True
1	0	0	1	08	2360	2.0A	0259	Barcelona	DISTRIBUIDORA DE ENERGIA ELECTRICA DEL BAGES, S.A.	24360	True
2	0	0	2	25	2401	2.0A	0187	Lleida	ELECTRA DEL CARDENER, S.A.	24162,26164	True
2	0	0	2	25	2401	2.1A	0187	Lleida	ELECTRA DEL CARDENER, S.A.	25991,25992	True
1	0	0	1	17	2402	2.0A	0359	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	14003	True
