distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	1	1	0	0	Girona	ELECTRA AVELLANA, S.L.	9045	True
2273	R1-299	07	2.0A	C3	5	5	2	2	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5953,8614,8617,9453,9456	True
2273	R1-299	08	2.0A	C3	5	28	22	3	3	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5344,6403,6596,8652,8656,8657,9409,9411,9416,9419,9420,9422,9428,9431,9432,9433,9462,9463,9467,9487,9489,9492,9500,9508,9518,9531,9533,9556	True
2273	R1-299	08	2.0A	C4	5	2	0	1	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7645,7730	True
2273	R1-299	08	2.0DHA	C3	5	2	1	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5794,9460	True
2273	R1-299	08	2.1A	C3	5	1	1	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9466	True
2273	R1-299	08	3.0A	C3	4	1	0	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7073	True
2273	R1-299	17	2.0A	C3	5	6	5	0	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5770,9410,9417,9423,9513,9525	True
2273	R1-299	25	2.0A	C3	5	1	0	0	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4573	True
2273	R1-299	38	2.0A	C3	5	1	0	0	1	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5487	True
2273	R1-299	41	2.0A	C3	5	1	0	1	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623	True
2273	R1-299	42	2.0A	C3	5	1	1	0	0	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9465	True
2273	R1-299	43	2.0A	C3	5	7	6	1	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9413,9426,9449,9459,9474,9476	True
2280	R1-001	28	2.0DHA	C3	5	1	1	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9369	True
2280	R1-001	31	2.0A	C3	5	2	2	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
2280	R1-001	46	2.0A	C3	5	2	0	1	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,8475	True
2282	R1-014	17	2.0A	C3	5	6	0	2	4	Girona	AGRI ENERGIA ELECTRICA	3039,5332,5340,5358,7901,7953	True
2282	R1-014	None	2.0A	C3	5	1	0	0	1	None	AGRI ENERGIA ELECTRICA	5335	True
2300	R1-231	17	2.0DHA	C3	5	1	0	0	1	Girona	ELÉCTRICA CUROS, S.L.	6541	True
2301	R1-018	08	2.0A	C3	5	6	0	3	3	Barcelona	ESTABANELL Y PAHISA ENERGIA	5323,6538,6771,8061,8093,8270	True
2301	R1-018	08	2.0DHA	C3	5	3	0	1	2	Barcelona	ESTABANELL Y PAHISA ENERGIA	6870,7032,7907	True
2301	R1-018	08	2.1DHA	C3	5	1	0	1	0	Barcelona	ESTABANELL Y PAHISA ENERGIA	8322	True
2316	R1-002	15	2.0A	C3	5	1	0	1	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8281	True
2316	R1-002	28	2.0A	C3	5	1	1	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9327	True
2326	R1-015	17	2.0A	C3	5	1	0	0	1	Girona	BASSOLS ENERGÍA, S.A.	3797	True
3245	R1-019	43	2.0A	C3	5	1	0	0	1	Tarragona	ELECTRICA DEL EBRO, S.A.	3222	True
3742	R1-003	27	2.0A	C3	5	2	0	0	2	Lugo	DISTRIBUCIÓN BEGASA	7099,7617	True
3831	R1-315	50	2.0A	C3	5	1	1	0	0	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	8833	True
4562	R1-052	17	2.0A	C3	5	1	0	0	1	Girona	LERSA ELECTRICITAT, S.L.	7563	True
8704	R1-049	10	2.0A	C3	5	1	0	1	0	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	8089	True
10117	R1-104	05	2.0A	C3	5	1	0	0	1	Avila	HIDROELÉCTRICA VIRGEN DE CHILLA, S.L.	6919	True
10866	R1-133	19	2.0A	C3	5	1	0	1	0	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
10866	R1-133	19	2.1A	C3	5	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	2642	True
11861	R1-065	25	2.0A	C3	5	1	0	1	0	Lleida	ELECTRICA DE GUIXES, SL	8255	True
13288	R1-316	46	2.0A	C3	5	1	1	0	0	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	9313	True
16391	R1-028	21	2.0A	C3	5	1	0	0	1	Huelva	MEDINA GARVEY, S.A.	2946	True
17132	R1-090	09	2.0A	C3	5	1	0	0	1	Burgos	Electra Aduriz, S.A.	3558	True
20540	R1-079	36	2.0A	C3	5	1	0	0	1	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	7403	True
21327	R1-059	22	2.0A	C3	5	1	0	1	0	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	8352	True
